id;operationdate;userid;tin;status;rand_score;isinasnef;type;month_partition
5c3bc4a6a2ca485f0e44adb1;1547535098;01c5cdf8a287dd1b31da2dd0365eb981;24.0;status_1;0.0287129027956429;false;type_1;2019-01-01
5c37c85da2ca485f0e430081;1547165558;4fc3fdd0e485461d8b489b53b3062ce9;7.25;status_1;0.00869986104504052;;type_1;2019-01-01
5c36f845a2ca485f0e41ac63;1547217453;d7f5acc6fba643acb0ed79f7ae75e43a;13.5;status_OK;0.0119858469258327;false;type_1;2019-01-01
5c37ce26a2ca485f0e4304a5;1547163305;bc4c190933523566af3985f9188bae80;24.0;status_1;0.028147709964139;;type_1;2019-01-01
5c3c58d3a2ca485f0e44d9c8;1547479396;c1e628c668cd1997225f9405c4f5490f;7.95;status_1;0.00943435629958835;;type_1;2019-01-01
5c37306da2ca485f0e424f96;1547483243;215184f9d39a67748030c6edf89a5828;6.95;status_1;0.0080644953457248;;type_1;2019-01-01
5c3765d3a2ca485f0e429021;1547145471;3df408a3976e83421a602478fccdbf7d;7.25;status_1;0.00836338114923729;;type_1;2019-01-01
5c3b02f6a2ca485f0e4470f7;1547461807;bee741c15e9e6fd9da943d7b996131a5;34.1;status_OK;0.0319158611096349;false;type_1;2019-01-01
5c390aaca2ca485f0e43d6ef;1547243051;1549fc89f6a6bbbbb6d7771bbca8a515;0.0;status_KO;0.0108;false;type_2;2019-01-01
5c376ba6a2ca485f0e429666;1547480859;71c05fc83738dfa6c0c09028933da568;16.95;status_1;0.0164088054713473;;type_1;2019-01-01
5c36fb46a2ca485f0e41c2ed;1547584258;afc03a686ff506be334e637f11163ae7;34.1;status_1;0.0169826855063042;false;type_1;2019-01-01
5c36fdd1a2ca485f0e41d2c4;1547538480;9d778df635f9513ba2b6eff5e707dd22;13.5;status_1;0.012094884763120001;;type_1;2019-01-01
5c369a353ffcdb00010175a8;1547086283;bda3fffbce05ea2b88012efa382e5102;34.1;status_1;0.0159;;type_1;2019-01-01
5c36fe79a2ca485f0e41d63d;1547241639;172f059493e4a420f62bc2336481a9b0;0.0;status_1;0.008286368677597909;;type_2;2019-01-01
5c371950a2ca485f0e422a91;1547114998;3a768bd7bdae920884508d32122a9956;13.5;status_1;0.0144455271629795;;type_1;2019-01-01
5c371373a2ca485f0e421e75;1547149195;8cb1bbc9c9ea306ce72afbc945f047ef;24.0;status_1;0.0140291363311814;false;type_1;2019-01-01
5c3a5ebca2ca485f0e445115;1547329441;b6cd5bddfbdfe460ca0797c2d9ec6d65;6.95;status_1;0.0082367425296394;;type_1;2019-01-01
5c36e58ca2ca485f0e41399c;1547186781;33e5ae0090abc26f92d245bb8b1d6072;16.95;status_1;0.0203747953507291;false;type_1;2019-01-01
5c3c7e7ca2ca485f0e44efb2;1547468433;6fdfac1ef6b2f9377d1d1abd916eb7f9;16.95;status_1;0.0195468599350462;;type_1;2019-01-01
5c3d8804a2ca485f0e452ff7;1547536404;995ad51950d7e043d013bf32d90e4e62;7.95;status_1;0.00918780925370837;true;type_1;2019-01-01
5c370119a2ca485f0e41e3dd;1547241191;839c33c963b30b68b317ad3c15327ffe;24.0;status_1;0.0126134591561293;false;type_1;2019-01-01
5c3ba109a2ca485f0e44a2b8;1547497081;f5baa0f09e6c647f412558a9cf739398;0.0;status_1;0.00888338924351374;false;type_2;2019-01-01
5c38f30c3ffcdb00010284ba;1547584487;b88ce7da57269eac8f3de749ceecc9b7;11.95;status_1;0.0108;;type_1;2019-01-01
5c3b1293a2ca485f0e4477c6;1547375292;752dcd0fd3dc3a59dc8919f3e0ef5b01;0.0;status_1;0.00964298739148871;false;type_2;2019-01-01
